projectID,projectAcronym,organisationID,name,shortName,SME,activityType,city,country,nutsCode,geolocation,organizationURL,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active
101136291,Support4Resilience,996467906,MACQUARIE UNIVERSITY,,false,HES,Sydney,AU,AU,"-33.8548157,151.2164539",,2025-04-15 01:21:47,2945459,13,associatedPartner,,0,0,false,
101137033,CCHFVACIM,974456472,INSTITUT PASTEUR DU CAMBODGE,IPC,false,REC,Phnom Penh,KH,KH,"11.5817572,104.9169853",http://www.pasteur-kh.org,2024-01-18 12:36:31,2013176,11,participant,428750,428750,428750,false,
101136771,CEA-FIRST,998296065,"FORUM FOR AGRICULTURAL RESEARCH IN AFRICA, GHANA",FARA,false,OTH,ACCRA,GH,GH,"5.6052829,-0.2023283",http://www.fara-africa.org,2026-06-03 12:48:43,2130273,1,coordinator,651121.88,651121.88,0,false,
101136438,GEMINI,998808710,NATIONAL TAIWAN UNIVERSITY,NTU,false,HES,Taipei,TW,TW,"25.0182673,121.535927",http://www.ntu.edu.tw,2026-06-17 15:02:31,1912550,18,associatedPartner,,0,0,false,
101136875,POMP,998711419,THE UNIVERSITY OF MANITOBA,,false,HES,Manitoba,CA,CA,"55.001251,-97.001038",http://www.umanitoba.ca,2026-06-19 16:32:04,1906305,12,associatedPartner,,0,0,false,
101136875,POMP,998297908,GRONLANDS NATURINSTITUT,,false,REC,Nuuk,GL,GL,"64.1905067,-51.6952546940986",,2026-06-19 16:32:04,1916692,5,participant,266087.59,266087.59,0,false,
101137895,ALBATROSS,999605953,ARDHI UNIVERSITY,ARU,false,REC,DAR ES SALAAM,TZ,TZ,"-6.764311,39.2120952794753",,2026-06-19 16:36:03,1940668,8,participant,198157.5,198157.5,"198157,5",false,
101138411,SAFeCRAFT,882327909,SEANERGY SHIPMANAGEMENT CORP,,false,PRC,MAJURO,MH,MH,"7.0909924,171.3816354",,2024-01-18 14:09:07,1987014,7,participant,4765775,4765775,6808250,false,
101138144,RESQTOOL,962882432,HILTI AKTIENGESELLSCHAFT,,false,PRC,Schaan,LI,LI000,"47.1663397,9.510312",,2026-06-19 16:37:57,1947339,12,associatedPartner,,0,0,false,
101137611,H2tALENT,882353129,AGENCIA DE ATRAÇÃO DE INVESTIMENTOS ESTRATEGICOS DO PIAUI S/A,INVESTE PIAUÍ,false,PRC,Teresina,BR,BR,"-10.3333333,-53.2",,2026-05-21 18:36:27,1987213,25,associatedPartner,,0,0,false,
101145724,PROTECT,954910390,FUNDACAO MANHICA,FM,false,REC,VILA DA MANHICA MAPUTO,MZ,MZ,"-25.9458524,32.569211",,2026-06-19 16:44:28,1970787,5,participant,705250,705250,705250,false,
101145769,ASAAP-plus,954303946,UNIVERSITE DES SCIENCES DES TECHNIQUES ET DES TECHNOLOGIES DE BAMAKO,USTTB,false,HES,Bamako,ML,ML,"12.649319,-8.000337",,2026-06-19 16:44:40,1956528,4,participant,271153.9,271153.9,"271153,9",false,
101145740,SAFIRE,954303946,UNIVERSITE DES SCIENCES DES TECHNIQUES ET DES TECHNOLOGIES DE BAMAKO,USTTB,false,HES,Bamako,ML,ML,"12.649319,-8.000337",,2025-04-10 18:07:34,1956528,3,participant,1498928.53,1498928.53,"1498928,53",false,
101158885,RETLAMI-SEE,995591705,UNIVERZITET U BANJOJ LUCI,UNIVERSITY OF BANJA LUKA,false,HES,BANJA LUKA,BA,BA,"44.7719893,17.1898768",https://www.unibl.org,2024-04-16 19:04:10,2149128,1,coordinator,398712.5,398712.5,0,false,
101146909,CodeZERO,999513027,TRANSPORTOKONOMISK INSTITUTT,TOI,false,REC,Oslo,NO,NO081,"59.942353499999996,10.716316407483461",http://www.toi.no,2024-04-16 16:44:07,1913433,3,participant,486723.75,486723.75,"486723,75",false,
101149085,GAP,992252092,SINGAPORE MANAGEMENT UNIVERSITY,SMU,false,HES,Singapore,SG,SG,"1.2964767,103.8520228",,2026-06-19 16:53:25,2943093,2,associatedPartner,,0,0,false,
101145599,CAPACITY 2023,912093038,JOINT CLINICAL RESEARCH CENTRE,JOINT CLINICAL RESEARCH CENTRE,false,REC,KAMPALA,UG,UG,"0.3177137,32.5813539",,2026-06-19 16:44:12,1987461,3,participant,170065.51,170065.51,"170065,51",false,
101145712,INTENSE-TBM-2,986872084,Institut Pasteur de Madagascar,IPM,false,REC,Antananarivo,MG,MG,"-18.7920779,47.7823214",,2026-06-19 16:44:19,1947090,2,participant,129343.75,129343.75,"129343,75",false,
101145822,IMCI-PLUS,997899432,WITS HEALTH CONSORTIUM (PTY) LTD,WHC,false,PRC,Johannesburg,ZA,ZA,"-26.205,28.049722",https://www.witshealth.co.za,2026-06-19 16:45:20,1935497,1,coordinator,1279857.5,1279857.5,"1279857,5",false,
101145812,STOOL4TB,954910390,FUNDACAO MANHICA,FM,false,REC,VILA DA MANHICA MAPUTO,MZ,MZ,"-25.9458524,32.569211",,2026-06-17 15:02:31,1970787,2,participant,62542.5,62542.5,"62542,5",false,
101149047,HOPE,893224889,DE PAUL UNIVERSITY,,false,HES,Chicago,US,US,"41.8779269,-87.6273347",,2025-09-02 00:06:45,1969860,2,associatedPartner,,0,0,false,
101147445,ProtAct-Us,996467906,MACQUARIE UNIVERSITY,,false,HES,Sydney,AU,AU,"-33.8548157,151.2164539",,2025-12-18 12:22:11,2945459,14,associatedPartner,,0,0,false,
101147432,SAFARI,906155862,OFFICE D'EXPLOITATION DU PORT DE TRIPOLI,OEPT,false,PUB,Tripoli,LB,LB,"34.435886249999996,35.84404568358576",,2026-06-22 11:56:34,1987566,15,participant,169431.25,169431.25,"169431,25",false,
101149523,EIS-QKD,940379596,University of Toyama,UT,false,OTH,Toyama,JP,JP,"36.6957569,137.2136215",,2026-06-19 16:52:56,3144772,3,associatedPartner,,0,0,false,
101117940,TB-QUEST,954910390,FUNDACAO MANHICA,FM,false,REC,VILA DA MANHICA MAPUTO,MZ,MZ,"-25.9458524,32.569211",,2024-04-22 17:56:27,1970787,2,participant,925000,925000,925000,false,
101162134,NightMission,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-03-24 16:19:02,1909285,2,participant,28218.5,28218.5,0,false,
101147855,DATAWiSE,970538448,RIGAS PLANOSANAS REGIONS,,false,PUB,Riga,LV,LV00A,"56.9493977,24.1051846",https://www.rpr.gov.lv,2026-02-03 05:45:15,1918109,13,participant,170893.75,170893.75,0,false,
101160253,ENPOWER,995591705,UNIVERZITET U BANJOJ LUCI,UNIVERSITY OF BANJA LUKA,false,HES,BANJA LUKA,BA,BA,"44.7719893,17.1898768",https://www.unibl.org,2024-12-31 09:30:22,2149128,1,coordinator,580484.98,580484.98,0,false,
101145638,PYRAPREG-extended,954303946,UNIVERSITE DES SCIENCES DES TECHNIQUES ET DES TECHNOLOGIES DE BAMAKO,USTTB,false,HES,Bamako,ML,ML,"12.649319,-8.000337",,2026-06-19 16:44:15,1956528,2,participant,322875,322875,322875,false,
101145638,PYRAPREG-extended,954910390,FUNDACAO MANHICA,FM,false,REC,VILA DA MANHICA MAPUTO,MZ,MZ,"-25.9458524,32.569211",,2026-06-19 16:44:15,1970787,6,participant,179059.56,179059.56,"179059,56",false,
101146689,DTWO,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-01-29 00:58:48,1909285,8,participant,222225,222225,0,false,
101155958,MOUNTADAPT,881160029,SERVEI ANDORRÀ D'ATENCIÓ SANITÀRIA,,false,PUB,Escaldes-Engordany,AD,AD,"42.5122627,1.5348816",,2026-06-03 12:51:36,1987689,26,associatedPartner,,0,0,false,
101147383,AfricaEnergyParks,881136555,PARTNERS IN PARTICIPATORY DEVELOPMENT,Partners in Participatory Development,false,OTH,BOLE,GH,GH,"9.0324846,-2.4895105",,2026-06-19 16:45:39,1987770,7,participant,204375,204375,204375,false,
101147412,SIRCULAR,881126079,BALTI VARA EHITUS OU,,true,PRC,TARTU,EE,EE008,"58.38071385,26.733493337645314",,2025-08-05 15:56:21,1987761,14,participant,453999.88,453999.88,"648571,25",false,
