ror_id,ror_name,country,activity_type,cordis_project_count,cordis_ec_contribution,cordis_contribution_rows,openalex_from_year,openalex_to_year,openalex_works_count_period,openalex_cited_by_count_period
https://ror.org/01dbyc951,Centre for Bhutan Studies and GNH Research,BT,REC,1,207445.0,1,2021,2026,413,2695
https://ror.org/01q07sy43,Ministre de la Santé,BJ,PUB,1,0.0,1,2021,2026,1400,706
https://ror.org/01wajxa36,Bangladesh University of Health Sciences,BD,HES,1,36581.25,1,2021,2026,806,4920
https://ror.org/01wck0s05,Hangzhou City University,CN,PUB,1,0.0,1,2021,2026,3073,22517
https://ror.org/024242h31,Public Authority for Applied Education and Training,KW,HES,1,0.0,1,2021,2026,1916,13176
https://ror.org/024pz1v04,Universidade Federal de Catalão,BR,PUB,1,0.0,1,2021,2026,1294,2440
https://ror.org/0256kw398,Birzeit University,PS,HES,1,0.0,1,2021,2026,1579,17394
https://ror.org/02ck5yd04,University of Ghardaia,DZ,HES,1,0.0,1,2021,2026,1269,4162
https://ror.org/02exbb429,Ministry of Agro Industry and Food Security,MU,REC,1,146625.0,1,2021,2026,66,437
https://ror.org/02f1kft51,University of Juba,SS,PUB,1,0.0,1,2021,2026,1154,3895
https://ror.org/02hw5fp67,National Institute for Environmental Studies,JP,REC,1,0.0,1,2021,2026,5656,60825
https://ror.org/02m457w49,Pontificia Universidad Católica Madre y Maestra,DO,HES,1,0.0,1,2021,2026,860,4172
https://ror.org/02m8qhj08,Anton de Kom University of Suriname,SR,HES,1,148135.0,1,2021,2026,577,1951
https://ror.org/02rm76t37,University of Sri Jayewardenepura,LK,HES,1,0.0,1,2021,2026,5855,38039
https://ror.org/02rz0r794,Facultad Latinoamericana de Ciencias Ecuador,EC,OTH,1,0.0,1,2021,2026,1232,2544
https://ror.org/02v7y7w12,Liechtenstein Institute,LI,REC,1,0.0,1,2021,2026,86,292
https://ror.org/02zhqgq86,University of Hong Kong,HK,PRC,1,0.0,1,2021,2026,92910,1126497
https://ror.org/031xne895,National University of Laos,LA,HES,1,0.0,1,2021,2026,1699,5054
https://ror.org/033dmae14,"Royal University of Agriculture, Cambodia",KH,HES,1,0.0,1,2021,2026,695,2062
https://ror.org/034s8ev31,Instituto de Investigaciones en Ciencia y Tecnología de Materiales,AR,REC,1,0.0,1,2021,2026,923,7628
https://ror.org/03ay59x86,University of French Polynesia,PF,HES,1,55200.0,1,2021,2026,1842,10198
https://ror.org/03eyq4y97,Hamad bin Khalifa University,QA,HES,1,0.0,1,2021,2026,9323,118576
https://ror.org/03fd5ne08,"Ministerio de Ciencia, Tecnología e Innovación",CO,PUB,1,20812.5,1,2021,2026,0,0
